wdid,logg,mass
2MASS J17161108+5443458,7.96,0.6
2MASS J17195522+6251071,7.805,0.51
2MASS J17223454+3212387,7.84,0.525
2MASS J17243904+5516000,8.355,0.85
2MASS J17260155+5605267,7.995,0.63
2MASS J17283185+6204265,8.47,0.91
2MASS J17333897+6341112,7.72,0.5
2MASS J18345307+4137578,8.42,0.87
2MASS J18441262+4120293,7.49,0.34
2MASS J19191135+3703191,7.92,0.57
2MASS J20572130+0042261,8.16,0.75
2MASS J20592308-0652081,6.38,0.25
2MASS J21142842-0103569,8.11,0.7
2MASS J21174953-0800205,7.93,0.6
2MASS J21523222+0014480,7.95,0.58
2MASS J22033861-0017510,7.28,0.38
2MASS J22084899+1221446,9.02,1.24
2MASS J22145224-0750447,7.97,0.59
2MASS J22171451+0046008,7.72,0.47
2MASS J22210845+0029278,8.27,0.785
2MASS J22305115+1257067,8.1,0.68
2MASS J22330047+1247190,7.87,0.55
2MASS J22584757+0710265,7.96,0.57
2MASS J23181475+0034299,7.735,0.475
2MASS J23281603+0100358,9.21,1.31
2MASS J23363056-0030358,7.42,0.36
2MASS J23380782+0001077,8.275,0.795
2MASS J23392228+0744002,7.78,0.49
2MASS J23392837-0020399,8.345,0.83
2MASS J23404147-1106366,8.39,0.85
2MASS J23431295+1541064,7.92,0.6
2MASS J23464994-0020319,7.89,0.57
2MASS J23492946+4353073,8.16,0.71
2MASS J23502758+0043588,8.03,0.62
2MASS J23535413-0003073,7.05,0.24
2QZ J132652.6+000856,8.575,0.97
2QZ J135521.2-023123,7.86,0.57
2QZ J140353.4-014058,7.62,0.47
2QZ J143017.2-024034,8.31,0.8
2SLAQ J025753.40-003159.6,7.93,0.573
2SLAQ J030758.81-002628.9,7.85,0.55
2SLAQ J032706.09-010538.6,8.37,0.84
2SLAQ J085131.43+003338.7,7.74,0.45
2SLAQ J100953.70-002853.4,8.23,0.77
2SLAQ J204054.18-011107.3,7.82,0.53
2SLAQ J212320.74+002455.5,7.31,0.31
2SLAQ J220705.41-002109.7,7.62,0.41
2SLAQ J234534.49-001453.7,7.8,0.52
2SLAQ J234621.22-003259.2,6.43,0.11
2XMM J151714.9+423925,9.11,1.25
GALEX 2696224664252843483,7.44,0.34
LBQS 1216+1628,8.61,0.98
SBC9 3392,8.3,0.79
SDSS J000453.93+265420.4,7.99,0.62
